,avg_total_cooking_time,Difficulty
0,17.5,easy
1,100.0,hard
2,15.0,easy
3,15.0,easy
4,122.5,hard
5,22.5,easy
6,40.0,medium
7,7.5,easy
8,10.0,easy
9,95.0,hard
10,67.5,hard
11,27.5,easy
12,80.0,hard
13,8.0,easy
14,30.0,medium
15,20.0,easy
16,125.0,hard
17,120.5,hard
18,40.0,medium
19,70.0,hard
20,185.0,hard
21,22.5,easy
22,30.0,medium
23,272.5,hard
24,25.0,easy
25,30.0,medium
26,97.5,hard
27,37.5,medium
28,182.5,hard
29,42.5,medium
30,215.0,hard
31,15.0,easy
32,10.0,easy
33,55.0,medium
34,7.5,easy
35,13.0,easy
36,70.0,hard
37,35.0,medium
38,75.0,hard
39,10.0,easy
40,40.0,medium
41,12.5,easy
42,67.5,hard
43,30.0,medium
44,25.0,easy
45,20.0,easy
46,15.0,easy
47,10.0,easy
